Brand,Price,Source
"Tecno POP 10 - 6,67"" - 128GO ROM- (3+3)GO RAM  - 4G - 2 SIM - 13MP-5000MAH - N.","55,250 FCFA",Jumia
"Xiaomi REDMI A5 - 6.88"" - 128GO ROM - 4GO RAM - 2 SIM - 4G - 32MP - 5200 MAH","48,900 FCFA",Jumia
Infinix Smart 10 HD  - 64Go + 2 Go - 6.6''- 8 MP - 5000 mAh - vert - 12 Mois Garantie,"38,200 FCFA",Jumia
Samsung Galaxy A16 - 2 Sim - 4G - 6.6 Pouces - 4Go RAM - 128Go ROM - 13Mpx/50+5+2Mpx - 5000 MAh - GRIS,"78,400 FCFA",Jumia
"Tecno POP 10 - 6,67"" - 4G - 2 SIM - (3+3)Go RAM + 64Go ROM - 8MP/13MP - 5000 MAH - Noir","51,600 FCFA",Jumia
Infinix HOT 60 Pro+  - 128Go + 8Go - 50 MP - 5160 MAh - noir - 12 mois garantie,"92,900 FCFA",Jumia
Itel City100 128Go,"52,250 FCFA",Jumia
"Tecno Camon 40- 6,78"" - 5G - 256 Go - 8 Go + 8 Go RAM - Blanc - 12 Mois de Garantie","127,750 FCFA",Jumia
Tecno Spark 40 pro Plus -256Go ROM-(8+8)Go RAM -,"115,900 FCFA",Jumia
"Samsung Galaxy A16 - 6,7"" - 128GO ROM - 4GO RAM - 50MP/13MP - 5000MAH -V.","79,800 FCFA",Jumia
Infinix Smart 10 HD  - 64Go + 2 Go - 6.6''- 8 MP - 5000 mAh - or - 12 Mois Garantie,"38,200 FCFA",Jumia
"Xiaomi Redmi Note 14 Pro 4G – 6.67"" - 12 Go Ram - 512 Go – Black- Garantie 12 Mois","159,800 FCFA",Jumia
"Xiaomi Redmi Note 14 - 6.67"" - 4G - 8/256 Go - 108Mpx - 5000mAh - Noir - Garantie 18 Mois","96,800 FCFA",Jumia
"Tecno Camon 40- 6,78"" - 5G - 256 Go - 8 Go + 8 Go RAM - 12 Mois de Garantie","127,750 FCFA",Jumia
"Xiaomi REDMI 15C - 6.9"" - 256GO ROM - (8+8)GO RAM - 2 SIM - 4G - 13MP/50MP - 6000 MAH -N","75,300 FCFA",Jumia
"Xiaomi Redmi A5 – 6.8"" – 128 Go – 4 Go RAM – 5200mAh – Gold – Garantie 12 Mois","46,700 FCFA",Jumia
Itel A06 (2+2) Ram / 32 GB Rom - 8Mpx - 4000Mah- Bleu,"33,000 FCFA",Jumia
"Xiaomi Redmi Note 14 Pro 4G – 6.67"" - 8 Go Ram – 256 Go – Noir - Garantie 12 Mois","133,900 FCFA",Jumia
"Samsung GALAXY A07 - 6,7"" - 64GO ROM - 4GO RAM - 50 MP - 2 SIM - 4G - 5000MAH - noir","58,990 FCFA",Jumia
"Tecno Camon 40 PRO - 6.78""- 4G - 2 SIM - (8+8)Go RAM - 256Go ROM – 32Mpx/50MP+8MP - 5200 MAh – Noir","138,850 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - Noir,"46,800 FCFA",Jumia
"Itel S25 Ultra 6,78"" Gris AMOLED 256+8 4G","97,000 FCFA",Jumia
