brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
LM-Sac à dos multifonction 3 en 1 - Noir,3750,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/244103/1.jpg?9453,3.6,50
Caméra De Surveillance Wifi E27 1080P,4665,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/667692/1.jpg?3084,3.1,46
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android - Blanc,2847,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/046692/1.jpg?9550,3.7,248
Canon Imprimante Jet D'encre Pixma G3410 - WiFi,74700,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/491351/1.jpg?0124,4.0,386
Clé USB - 128GB - Argent,3192,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/651912/1.jpg?0773,3.4,1077
VIC ♛256GB Clés USB Métal USB3.0 Disques Usb Portables Étanche Memoria...,3842,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/722613/1.jpg?8042,4.0,47
Souris Sans Fil Optique Rechargeable 2.4G Slim - Noir,1890,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/147041/1.jpg?3677,4.1,2207
Hp Mini G5 pliable 11 x360 - Intel Celeron - Dual Core - 4GB RAM - 256...,117500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/591103/1.jpg?2001,3.8,45
GUEETON Clé USB OTG Métallique 64 Go Étanche avec Relief 3D,2148,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/244322/1.jpg?3672,3.6,588
Câble - HDMI - HD - Haute Vitesse / Ethernet - V1.4 4K 3D - 5 M - Noir,1200,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/377262/1.jpg?0614,4.2,296
Support D'ordinateur Portable - Noir,1722,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/510092/1.jpg?4595,4.0,180
"Souris sans fil 2,4 GHz portable, ultra-fine et silencieuse, 4 boutons...",1469,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/967862/1.jpg?0727,3.6,234
Canon PIXMA G3410 - Imprimante Jet D'Encre Multifonction - Noir,72500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/491351/1.jpg?9286,3.9,148
LZDUATAN 10 Steps Laptop Stand Desktop Stand Can Be Adjusted In,1099,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/580562/1.jpg?3282,4.0,376
LM-Sac à dos multifonctionnel 3 en 1 - Gris,3750,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/244103/1.jpg?1202,3.4,30
Clé USB OTG - 128GB - Violet,3416,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/246212/1.jpg?5960,3.5,792
Support Pour Ordinateur Portable En Plastique - Argent,1720,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/082092/1.jpg?4626,3.9,120
UWY Clé USB 128GB - Gris,2793,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/591402/1.jpg?8510,3.5,1293
GUEETON Support Pour Ordinateur Portable En Métal - Argent,1846,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/829051/1.jpg?0670,4.2,1003
Canon Imprimante -All In One - PIXMA -MG2540S / MG2541S- Copy - Scan -...,27500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/761241/1.jpg?7528,3.4,204
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 7 Ports USB 3.0,2320,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/642972/1.jpg?2005,3.7,192
"VIC ♛128Go USB3.0 Clés USB métal, Disque USB portable étanche",2594,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/722613/1.jpg?2933,3.3,23
WSD P10 ordinateur portable Intel N5095-Écran 15.6'' 16 Go+512 Go ordi...,185500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/213892/1.jpg?7006,3.8,82
Ventilateur De Bureau Portable à Clipser – 2000 MAh Rechargeable Par U...,2800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/842182/1.jpg?0429,3.6,102
Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,9800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/065762/1.jpg?1003,4.2,132
Canon Imprimante Pixma TS3340 - Impression - Photocopie - Scanner - Wi...,34700,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/538082/1.jpg?5246,3.7,175
DJOK Souris Sans Fil LED - Bluetooth & 2.4G - Rechargeable - Silencieu...,3000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/347713/1.jpg?7204,4.2,25
LZDUATAN 10 Steps Laptop Stand,1139,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/580562/1.jpg?3507,4.0,428
EAGEAT Souris de jeu sans fil rechargeable à trois vitesses 2.4GHz,2295,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/605992/1.jpg?0696,4.3,120
