brand_name,Price,discount,Reviews,image_url,Reviews_rating,Reviews_count
Hp Mini G5 pliable 11 x360 - Intel Celeron - Dual Core - 4GB RAM - 256...,117500.0,5%,3.8 out of 5(45),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/591103/1.jpg?2001,3.8,45.0
GUEETON Clé USB OTG Métallique 64 Go Étanche avec Relief 3D,2148.0,5%,3.6 out of 5(588),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/244322/1.jpg?3672,3.6,588.0
Câble - HDMI - HD - Haute Vitesse / Ethernet - V1.4 4K 3D - 5 M - Noir,1200.0,5%,4.2 out of 5(296),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/377262/1.jpg?0614,4.2,296.0
Support D'ordinateur Portable - Noir,1722.0,5%,4 out of 5(180),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/510092/1.jpg?4595,4.0,180.0
"Souris sans fil 2,4 GHz portable, ultra-fine et silencieuse, 4 boutons...",1469.0,5%,3.6 out of 5(234),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/967862/1.jpg?0727,3.6,234.0
Canon PIXMA G3410 - Imprimante Jet D'Encre Multifonction - Noir,72500.0,5%,3.9 out of 5(148),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/491351/1.jpg?9286,3.9,148.0
LZDUATAN 10 Steps Laptop Stand Desktop Stand Can Be Adjusted In,1099.0,5%,4 out of 5(376),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/580562/1.jpg?3282,4.0,376.0
LM-Sac à dos multifonctionnel 3 en 1 - Gris,3750.0,5%,3.4 out of 5(30),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/244103/1.jpg?1202,3.4,30.0
Clé USB OTG - 128GB - Violet,3416.0,5%,3.5 out of 5(792),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/246212/1.jpg?5960,3.5,792.0
Support Pour Ordinateur Portable En Plastique - Argent,1720.0,5%,3.9 out of 5(120),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/082092/1.jpg?4626,3.9,120.0
UWY Clé USB 128GB - Gris,2793.0,5%,3.5 out of 5(1293),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/591402/1.jpg?8510,3.5,1293.0
GUEETON Support Pour Ordinateur Portable En Métal - Argent,1846.0,5%,4.2 out of 5(1003),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/829051/1.jpg?0670,4.2,1003.0
